gender,marriage,edu,job,mincome,aware,count,amount,decision,propensity,skin,promo,location,satisf_b,satisf_i,satisf_al,repurchase
2,2,7,6,6,2,10,30000,3,2,5,2,5,3,5,3,4
2,2,6,3,6,1,4,1000000,3,3,2,2,1,5,1,4,4
1,2,4,6,6,1,5,300000,3,3,1,2,1,3,4,3,3
2,2,4,10,2,1,2,30000,2,2,4,2,3,3,4,3,4
1,2,4,4,3,2,5,100000,3,3,5,1,5,3,2,3,4
1,2,2,4,6,2,1,30000,1,2,1,2,1,4,4,4,3
1,2,4,9,1,2,2,100000,3,1,1,3,3,3,2,3,3
1,2,8,3,5,4,1,50000,3,2,3,2,3,3,3,3,3
1,2,4,4,6,2,1,100000,3,2,5,1,3,2,4,4,4
1,2,4,4,5,2,2,70000,2,2,4,2,2,3,4,4,4
1,2,4,4,5,2,2,70000,2,2,4,2,2,3,3,3,3
1,2,8,3,6,2,3,100000,3,2,3,2,3,1,1,3,3
2,1,4,8,1,1,2,100000,3,2,3,2,3,2,5,5,5
2,2,4,7,4,2,5,30000,3,2,5,2,2,3,3,3,3
2,2,2,7,3,2,2,100000,3,2,3,2,3,3,3,4,3
2,2,8,3,6,2,2,300000,3,3,5,2,1,3,5,4,4
1,2,6,2,6,2,2,20000,3,1,1,2,1,2,2,3,4
2,2,6,4,3,2,3,150000,2,3,2,3,5,1,2,1,5
2,1,4,4,2,1,2,30000,3,1,3,2,2,2,4,4,4
2,2,4,3,3,1,3,250000,2,2,5,1,1,5,1,3,4
2,2,4,5,5,8,3,200000,3,1,4,2,1,2,2,5,1
2,2,2,4,4,5,3,250000,1,2,2,3,5,5,1,1,4
1,2,4,2,5,2,5,120000,3,2,1,2,3,2,4,4,4
2,2,4,2,6,1,15,150000,3,3,5,4,1,4,4,4,4
2,1,4,4,4,2,3,200000,2,3,4,3,4,4,3,1,1
2,2,2,4,3,1,3,200000,1,2,3,1,1,1,4,5,4
2,2,8,3,6,1,5,100000,3,3,1,2,2,2,4,4,4
1,2,6,4,5,1,3,100000,2,2,1,1,3,4,3,3,3
1,2,6,4,5,1,3,40000,3,2,1,1,3,3,3,4,4
1,2,4,9,3,4,1,100000,2,2,1,2,3,3,3,3,3
2,1,4,3,3,2,15,100000,2,2,5,1,2,3,3,3,3
2,2,4,4,3,1,5,35000,3,2,1,2,3,3,3,3,4
1,1,4,9,1,5,3,30000,2,2,1,4,3,2,4,5,2
1,2,4,4,4,2,2,50000,1,2,3,3,2,3,4,4,4
1,2,8,10,4,4,3,35000,3,2,3,2,5,3,3,3,4
1,2,6,3,6,2,1,30000,1,2,1,2,2,2,3,3,3
2,2,3,7,3,4,5,100000,3,1,4,3,2,3,3,3,4
1,1,2,3,4,31,2,50000,3,2,3,3,5,3,3,3,3
2,1,7,8,2,2,5,30000,1,1,1,2,5,3,3,3,4
2,2,2,7,5,2,3,25000,3,1,5,2,3,2,3,4,4
